Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self               self     total           
 time   seconds   seconds     calls   s/call   s/call  name    
  0.00      3.13     0.00   4597181     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      3.13     0.00   3810978     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_base(std::allocator<tile> const&)
  0.00      3.13     0.00   3805476     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::get_allocator() const
  0.00      3.13     0.00   3805476     0.00     0.00  std::vector<tile, std::allocator<tile> >::vector(std::allocator<tile> const&)
  0.00      3.13     0.00   3805476     0.00     0.00  std::vector<tile, std::allocator<tile> >::operator=(std::vector<tile, std::allocator<tile> >&&)
  0.00      3.13     0.00   3341391     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      3.13     0.00   3341391     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      3.13     0.00   3341391     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      3.13     0.00   3341391     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      3.13     0.00   3341391     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      3.13     0.00   3196074     0.00     0.00  _min(int, int)
  0.00      3.13     0.00   3190573     0.00     0.00  _max(int, int)
  0.00      3.13     0.00   3190573     0.00     0.00  _ceil(float)
  0.00      3.13     0.00   3190573     0.00     0.00  _round(float)
  0.00      3.13     0.00   3190573     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator*() const
  0.00      3.13     0.00   3190573     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator-(long) const
